M-25-22 Section,M-25-22 Title,M-25-22 Component,IVN Source Name,IVN Source Agency,Alignment Score
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"NIST FIPS 200, Minimum Security Requirements for Federal Information and Information Systems",National Institute of Standards and Technology,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"NIST AI 100-1, Artificial Intelligence Risk Management Framework (AI RMF 1.0)",NIST,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"OMB A-130, Revised, Management of Federal Information Resources",OMB,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"OMB M-25-28, Guidance Implementing the President's Memorandum Directing the Repeal of Unlawful Regulations",OMB,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,National Institute of Standards and Technology AI 100-1 AI Risk Management Framework 1.0,NIST,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"NIST SP 800-37, Revision 2, Risk Management Framework for Information Systems and Organizations: A System Life Cycle Approach for Security and Privacy, December 2018 ",National Institute of Standards and Technology,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"NIST SP 800-61, Revision 3, Incident Response Recommendations and Considerations for Cybersecurity Risk Management: A CSF 2.0 Community Profile, April 2025 ",National Institute of Standards and Technology,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"OMB M-20-32, Improving Vulnerability Identification, Management, and Remediation",OMB,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"Office of Management and Budget (OMB) Circular A-130, Managing Information as a Strategic Resource",OMB,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"OMB M-22-18, Enhancing the Security of the Software Supply Chain through Secure Software Development Practices",OMB,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"OMB M-04-25, FY 2004 Reporting Instructions for the Federal Information Security Management Act",OMB,2
4.d.iii.E,Ongoing Testing and Monitoring,"Contractual terms must provide the contracting agency the ability to regularly monitor and evaluate performance, risks, and effectiveness of an AI system or service.",USDA Farm Service Agency Budget Explanatory Notes 2023,USDA,2
4.d.iii.F,Vendor Performance Requirements,Require vendors to regularly monitor an AI system's performance and rectify unacceptable behavior.,"NIST FIPS 200, Minimum Security Requirements for Federal Information and Information Systems",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST FIPS 200, Minimum Security Requirements for Federal Information and Information Systems",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"OMB M-06-07, Designation of a Senior Agency Official for Geospatial Information",OMB,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-128, Guide for Security-Focused Configuration Management of Information Systems, October 2019 ",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-137, Information Security Continuous Monitoring (ISCM) for Federal Information Systems and Organizations, September 2011 ",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-171 Rev. 3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations, May 2024",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST FIPS 199, Standards for Security Categorization of Federal Information and Information Systems, February 2004",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-18, Revision 1, Guide for Developing Security Plans for Federal Information Systems, February 2006",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-34, Revision 1, Contingency Planning Guide for Federal Information Systems, November 2010",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-39, Managing Information Security Risk: Organization, Mission, and Information System View, March 2011",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-53, Revision 5, Security and Privacy Controls for Information Systems and Organizations, December 2020 (and as updated in November 2023) ",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-53B, Control Baselines for Information Systems and Organizations, December 2020",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-60, Revision 2, Guide for Mapping Types of Information and Systems to Security Categories, January 2024",National Institute of Standards and Technology,2
4.e.ii,Contractual Oversight,Perform effective system oversight consistent with the terms of the contract.,EO 13839 - Promoting Accountability and Streamlining Removal Procedures Consistent with Merit System Principles,EOP,2
4.f.i,Vendor Lock-In Protection,Implement any contractual terms related to ongoing rights and access to any data or derived products resulting from the services provided under the contract.,EO 12906 - Coordinating Geographic Data Acquisition and Access: The National Spatial Data Infrastructure,"3581. Presumption of accessibility for statistical agencies and units (a) Accessibility of Data Assets .-The head of an agency shall, to the extent practicable, make any data asset maintained by the agency available, upon request, to any statistical agency or unit for purposes of developing evidence. (b) Limitations .-Subsection (a) does not apply to any data asset that is subject to a statute that- (1) prohibits the sharing or intended use of such asset in a manner as to leave no discretion on the issue; or (2) if enacted after the date of the enactment of this section, specifically cites to this paragraph. (c) Regulations .-The Director shall prescribe regulations for agencies to carry out this section. Such regulations shall- (1) require the timely provision of data assets under subsection (a); (2) provide a list of statutes that exempt agencies from the requirement under subsection (a) pursuant to subsection (b)(1); (3) establish clear and consistent standards, to the extent possible, for complying with section 552a of title 5 (commonly known as the ""Privacy Act of 1974"") and any other applicable law requiring the protection and confidentiality of individually identifiable information; and (4) require a transparent process for statistical agencies and units to request data assets from agencies and for agencies to respond to such requests. (d) Rule of Construction .-Nothing in this section may be construed as altering existing intellectual property rights or the terms of any contract or other binding, written agreement. (Added Pub. L. 115-435, title III, 303(a), Jan. 14, 2019, 132 Stat. 5554 .) Editorial Notes The date of the enactment of this section, referred to in subsec. (b)(2), is the date of enactment of Pub. L. 115-435, which was approved Jan. 14, 2019. Statutory Notes and Related Subsidiaries Section effective 180 days after Jan. 14, 2019, see section 403 of Pub. L. 115-435, set out as an of 2019 Amendment note under section 306 of Title 5, Government Organization and Employees.",2
