Enabling Component ID,Enabling Component Name,Probable Dependent Component,Dependent Source,Relationship Basis,Suggested IVN Sheet,Suggested Confidence
LAUNCHING-THE-GENE-012,"(a) Within 60 days of the date of this order, the Secretary shall identify and submit to the APST a detailed list of at least 20 science ...",OMB M-25-34 - R&D Budget Priority 1.2: Quantum Information S&T,"OMB M-25-34, Fiscal Year (FY) 2027 Administration Research and Development Budget Priorities and Cross-Cutting Actions",Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.1
LAUNCHING-THE-GENE-017,"(b) The APST shall coordinate with relevant agencies in establishing, consistent with existing authorizing statutes and subject to availa...",USDA National Institute of Food and Agriculture Budget Explanatory Notes 2025 Research and Education Activities - Research Equipment Grants (EGP),USDA National Institute of Food and Agriculture Budget Explanatory Notes 2025,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.09
LAUNCHING-THE-GENE-015,"(d) &nbsp;On an annual basis thereafter, the Secretary shall review and update the list of challenges in consultation with the APST and t...",OMB M-25-34 - R&D Budget Priority 1: Ensure Unrivaled American Leadership in Critical and Emerging Technologies,"OMB M-25-34, Fiscal Year (FY) 2027 Administration Research and Development Budget Priorities and Cross-Cutting Actions",Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.09
LAUNCHING-THE-GENE-005,(a) The Secretary shall establish and operate the American Science and Security Platform (Platform) to serve as the infrastructure for th...,OMB M-25-34 - R&D Budget Priority 1.1: Artificial Intelligence,"OMB M-25-34, Fiscal Year (FY) 2027 Administration Research and Development Budget Priorities and Cross-Cutting Actions",Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.09
LAUNCHING-THE-GENE-010,"(e)&nbsp; Within 240 days of the date of this order, the Secretary shall review capabilities across the DOE national laboratories and oth...",44 USC 3556 - Federal information security incident center,Federal Information Security Modernization Act (FISMA) - 44 USC Ch 35 SubCh II,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.09
LAUNCHING-THE-GENE-023,(b)&nbsp; This order shall be implemented consistent with applicable law and subject to the availability of appropriations.,USDA BEN Expiring Legislation 2025,USDA Budget Explanatory Notes 2025,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.09
LAUNCHING-THE-GENE-008,&nbsp;The Secretary shall also identify any additional partnerships or infrastructure enhancements that could support the computational f...,USDA SP 2022-2026 1.4.5: Clean fuels production and infrastructure support,USDA Strategic Plan 2022-2026,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.08
LAUNCHING-THE-GENE-013,"(b) &nbsp;Within 30 days of submission of the list described in subsection (a) of this section, the APST shall review the proposed list a...",FC 35.201 How To Use Evaluation Criteria For R&D.,Federal Acquisition Regulation (FAR) Companion Version 2.0,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.08
LAUNCHING-THE-GENE-024,(d)&nbsp; The costs for publication of this order shall be borne by the Department of Energy.,USDA SP 2022-2026 5.2.4: Partner with Federal agencies to reduce greenhouse gas emissions in rural housing.,USDA Strategic Plan 2022-2026,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.07
LAUNCHING-THE-GENE-011,"(f)&nbsp; Within 270 days of the date of this order, the Secretary shall, consistent with applicable law and subject to&nbsp;available ap...",44 USC 3556 - Federal information security incident center,Federal Information Security Modernization Act (FISMA) - 44 USC Ch 35 SubCh II,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.06
