Enabling Source,Enabling Component,Enabling Component Description,Dependent Component,Dependent Component Description,Dependent Source,Linkage mandated by what US Code or OMB policy?,Enabling Component URL,Dependent Component URL,Enabling Source Agency,Dependent Source Agency,Notes and keywords,Keywords Tab Items Found,Enabling Component Responsible Office,Dependent Component Responsible Office,Edits,Similarity,Enabling URL Status,Dependent URL Status
USDA IT Directives,DR3300-006 Network Class of Service and Quality of Service (06/01/16),,,,,,https://www.usda.gov/sites/default/files/documents/DR3300-006.pdf,,,,,,USDA,,,,,
USDA IT Directives,DR3530-006 Scanning and Remediation of Configuration and Patch Vulnerabilities (06/05/19),,,,,,https://www.usda.gov/sites/default/files/documents/USDA DM 3530-004.pdf,,,,,,USDA,,,,,
USDA IT Directives,,One key role of Agency Chief Information Officers (CIOs) is to manage and employ a true portfolio management approach for all IT. Proper portfolio management enables CIOs to focus on: (1) Delivering IT solutions that support the mission and business effectiveness of their agencies; and (2) Overcoming bureaucratic impediments to deliver efficient IT solutions.,21st Century Integrated Digital Experience Act,"This bill requires an executive agency that creates a public website or digital service, or that redesigns an existing public legacy website or digital service, to ensure that the website or service:

is accessible to individuals with disabilities,
has a consistent appearance,
does not overlap with or duplicate any legacy websites;
contains a search function,
is provided through an industry standard secure connection,
is designed around user needs,
provides users with the option for a more customized digital experience that allows users to complete digital transactions in an efficient and accurate manner, and
is fully functional and usable on common mobile devices.
Each agency that maintains a public website or digital service shall report: (1) to Congress on those websites and services, including the cost of modernization, and (2) annually to the Office of Management and Budget (OMB) on the agency's progress in implementing the requirements.

Agencies must ensure that Intranets established after enactment of this bill conform to the requirements for public websites.

Any website of an agency that is made available to the public after enactment shall be in compliance with the website standards of the Technology Transformation Services of the General Services Administration (GSA).

(Sec. 4) The OMB shall issue guidance to each agency to: (1) identify public nondigital, paper-based, or in person government services; and (2) include in the agency's budget request a list of nondigital services with the greatest impact that could be made available to the public through an online, mobile-friendly, digital service option in a manner that decreases cost, increases digital conversion rates, and improves customer experience, and an estimation of the cost and schedule associated with carrying out such modernization.

Agencies must make forms used by the public available digitally and report on forms, services, and processes that cannot be digitized. Each agency shall maintain an accessible method of completing digital services through in-person, paper-based, or other means, such that individuals without the ability to use digital services are not deprived of, or impeded in, access to such services.

(Sec. 5) Each agency shall submit to the OMB and Congress a plan to accelerate the use of electronic signatures.

(Sec. 6) Each agency's Chief Information Officer shall:

coordinate and ensure alignment of the internal and external customer experience programs and strategy of the agency,
coordinate with the management leaders of the agency to ensure proper funding to support this bill's implementation,
continually examine the agency's public digital service delivery strategy and submit recommendations providing guidance and best practices,
identify areas of concern that need improvement using data relating to customer experience and satisfaction, and
coordinate and ensure compliance with requirements for federal websites to be mobile friendly.
(Sec. 7) Each agency shall: (1) seek to maintain as much standardization and commonality with other agencies as practicable in implementing this bill's requirements to best enable future transitions to centralized shared services; and (2) coordinate the implementation of such requirements, including the development of standards and commonalities.

The GSA must make available under a Federal Supply Schedule the systems and services necessary to fulfill this bill's requirements. Such schedule shall ensure interoperability between agencies, compliance with industry standards, and adherence to best practices for design, accessibility, and information security.",21st Century Integrated Digital Experience Act,,https://www.usda.gov/sites/default/files/documents/USDA DM 3180-001_IT Standards Procedures_final.pdf,https://uscode.house.gov/table3/115_336.htm,,,,,USDA,,,,,
USDA IT Directives,,One key role of Agency Chief Information Officers (CIOs) is to manage and employ a true portfolio management approach for all IT. Proper portfolio management enables CIOs to focus on: (1) Delivering IT solutions that support the mission and business effectiveness of their agencies; and (2) Overcoming bureaucratic impediments to deliver efficient IT solutions.,21st Century Integrated Digital Experience Act,"This bill requires an executive agency that creates a public website or digital service, or that redesigns an existing public legacy website or digital service, to ensure that the website or service:

is accessible to individuals with disabilities,
has a consistent appearance,
does not overlap with or duplicate any legacy websites;
contains a search function,
is provided through an industry standard secure connection,
is designed around user needs,
provides users with the option for a more customized digital experience that allows users to complete digital transactions in an efficient and accurate manner, and
is fully functional and usable on common mobile devices.
Each agency that maintains a public website or digital service shall report: (1) to Congress on those websites and services, including the cost of modernization, and (2) annually to the Office of Management and Budget (OMB) on the agency's progress in implementing the requirements.

Agencies must ensure that Intranets established after enactment of this bill conform to the requirements for public websites.

Any website of an agency that is made available to the public after enactment shall be in compliance with the website standards of the Technology Transformation Services of the General Services Administration (GSA).

(Sec. 4) The OMB shall issue guidance to each agency to: (1) identify public nondigital, paper-based, or in person government services; and (2) include in the agency's budget request a list of nondigital services with the greatest impact that could be made available to the public through an online, mobile-friendly, digital service option in a manner that decreases cost, increases digital conversion rates, and improves customer experience, and an estimation of the cost and schedule associated with carrying out such modernization.

Agencies must make forms used by the public available digitally and report on forms, services, and processes that cannot be digitized. Each agency shall maintain an accessible method of completing digital services through in-person, paper-based, or other means, such that individuals without the ability to use digital services are not deprived of, or impeded in, access to such services.

(Sec. 5) Each agency shall submit to the OMB and Congress a plan to accelerate the use of electronic signatures.

(Sec. 6) Each agency's Chief Information Officer shall:

coordinate and ensure alignment of the internal and external customer experience programs and strategy of the agency,
coordinate with the management leaders of the agency to ensure proper funding to support this bill's implementation,
continually examine the agency's public digital service delivery strategy and submit recommendations providing guidance and best practices,
identify areas of concern that need improvement using data relating to customer experience and satisfaction, and
coordinate and ensure compliance with requirements for federal websites to be mobile friendly.
(Sec. 7) Each agency shall: (1) seek to maintain as much standardization and commonality with other agencies as practicable in implementing this bill's requirements to best enable future transitions to centralized shared services; and (2) coordinate the implementation of such requirements, including the development of standards and commonalities.

The GSA must make available under a Federal Supply Schedule the systems and services necessary to fulfill this bill's requirements. Such schedule shall ensure interoperability between agencies, compliance with industry standards, and adherence to best practices for design, accessibility, and information security.",21st Century Integrated Digital Experience Act,,https://www.usda.gov/sites/default/files/documents/DR 3130-008_Definition of Major Information Technology Investments_Final.pdf,https://uscode.house.gov/table3/115_336.htm,,,,,USDA,,,,,
USDA IT Directives,,"OMB A-11, Preparation, Submission and Execution of the Budget",21st Century Integrated Digital Experience Act,"This bill requires an executive agency that creates a public website or digital service, or that redesigns an existing public legacy website or digital service, to ensure that the website or service:

is accessible to individuals with disabilities,
has a consistent appearance,
does not overlap with or duplicate any legacy websites;
contains a search function,
is provided through an industry standard secure connection,
is designed around user needs,
provides users with the option for a more customized digital experience that allows users to complete digital transactions in an efficient and accurate manner, and
is fully functional and usable on common mobile devices.
Each agency that maintains a public website or digital service shall report: (1) to Congress on those websites and services, including the cost of modernization, and (2) annually to the Office of Management and Budget (OMB) on the agency's progress in implementing the requirements.

Agencies must ensure that Intranets established after enactment of this bill conform to the requirements for public websites.

Any website of an agency that is made available to the public after enactment shall be in compliance with the website standards of the Technology Transformation Services of the General Services Administration (GSA).

(Sec. 4) The OMB shall issue guidance to each agency to: (1) identify public nondigital, paper-based, or in person government services; and (2) include in the agency's budget request a list of nondigital services with the greatest impact that could be made available to the public through an online, mobile-friendly, digital service option in a manner that decreases cost, increases digital conversion rates, and improves customer experience, and an estimation of the cost and schedule associated with carrying out such modernization.

Agencies must make forms used by the public available digitally and report on forms, services, and processes that cannot be digitized. Each agency shall maintain an accessible method of completing digital services through in-person, paper-based, or other means, such that individuals without the ability to use digital services are not deprived of, or impeded in, access to such services.

(Sec. 5) Each agency shall submit to the OMB and Congress a plan to accelerate the use of electronic signatures.

(Sec. 6) Each agency's Chief Information Officer shall:

coordinate and ensure alignment of the internal and external customer experience programs and strategy of the agency,
coordinate with the management leaders of the agency to ensure proper funding to support this bill's implementation,
continually examine the agency's public digital service delivery strategy and submit recommendations providing guidance and best practices,
identify areas of concern that need improvement using data relating to customer experience and satisfaction, and
coordinate and ensure compliance with requirements for federal websites to be mobile friendly.
(Sec. 7) Each agency shall: (1) seek to maintain as much standardization and commonality with other agencies as practicable in implementing this bill's requirements to best enable future transitions to centralized shared services; and (2) coordinate the implementation of such requirements, including the development of standards and commonalities.

The GSA must make available under a Federal Supply Schedule the systems and services necessary to fulfill this bill's requirements. Such schedule shall ensure interoperability between agencies, compliance with industry standards, and adherence to best practices for design, accessibility, and information security.",21st Century Integrated Digital Experience Act,,https://www.usda.gov/sites/default/files/documents/DR3130-009_Non Major Information Technology Investments_FINAL.pdf,https://uscode.house.gov/table3/115_336.htm,,,,,USDA,,,,,
USDA IT Directives,,One key role of Agency Chief Information Officers (CIOs) is to manage and employ a true portfolio management approach for all IT. Proper portfolio management enables CIOs to focus on: (1) Delivering IT solutions that support the mission and business effectiveness of their agencies; and (2) Overcoming bureaucratic impediments to deliver efficient IT solutions.,21st Century Integrated Digital Experience Act,"This bill requires an executive agency that creates a public website or digital service, or that redesigns an existing public legacy website or digital service, to ensure that the website or service:

is accessible to individuals with disabilities,
has a consistent appearance,
does not overlap with or duplicate any legacy websites;
contains a search function,
is provided through an industry standard secure connection,
is designed around user needs,
provides users with the option for a more customized digital experience that allows users to complete digital transactions in an efficient and accurate manner, and
is fully functional and usable on common mobile devices.
Each agency that maintains a public website or digital service shall report: (1) to Congress on those websites and services, including the cost of modernization, and (2) annually to the Office of Management and Budget (OMB) on the agency's progress in implementing the requirements.

Agencies must ensure that Intranets established after enactment of this bill conform to the requirements for public websites.

Any website of an agency that is made available to the public after enactment shall be in compliance with the website standards of the Technology Transformation Services of the General Services Administration (GSA).

(Sec. 4) The OMB shall issue guidance to each agency to: (1) identify public nondigital, paper-based, or in person government services; and (2) include in the agency's budget request a list of nondigital services with the greatest impact that could be made available to the public through an online, mobile-friendly, digital service option in a manner that decreases cost, increases digital conversion rates, and improves customer experience, and an estimation of the cost and schedule associated with carrying out such modernization.

Agencies must make forms used by the public available digitally and report on forms, services, and processes that cannot be digitized. Each agency shall maintain an accessible method of completing digital services through in-person, paper-based, or other means, such that individuals without the ability to use digital services are not deprived of, or impeded in, access to such services.

(Sec. 5) Each agency shall submit to the OMB and Congress a plan to accelerate the use of electronic signatures.

(Sec. 6) Each agency's Chief Information Officer shall:

coordinate and ensure alignment of the internal and external customer experience programs and strategy of the agency,
coordinate with the management leaders of the agency to ensure proper funding to support this bill's implementation,
continually examine the agency's public digital service delivery strategy and submit recommendations providing guidance and best practices,
identify areas of concern that need improvement using data relating to customer experience and satisfaction, and
coordinate and ensure compliance with requirements for federal websites to be mobile friendly.
(Sec. 7) Each agency shall: (1) seek to maintain as much standardization and commonality with other agencies as practicable in implementing this bill's requirements to best enable future transitions to centralized shared services; and (2) coordinate the implementation of such requirements, including the development of standards and commonalities.

The GSA must make available under a Federal Supply Schedule the systems and services necessary to fulfill this bill's requirements. Such schedule shall ensure interoperability between agencies, compliance with industry standards, and adherence to best practices for design, accessibility, and information security.",21st Century Integrated Digital Experience Act,,https://www.usda.gov/sites/default/files/documents/DR3130-009_Non Major Information Technology Investments_FINAL.pdf,https://uscode.house.gov/table3/115_336.htm,,,,,USDA,,,,,
USDA IT Directives,DR3130-010 United States Department of Agriculture Enterprise Information Technology Governance (04/20/21),"OMB A-11, Preparation, Submission and Execution of the Budget",21st Century Integrated Digital Experience Act,"This bill requires an executive agency that creates a public website or digital service, or that redesigns an existing public legacy website or digital service, to ensure that the website or service:

is accessible to individuals with disabilities,
has a consistent appearance,
does not overlap with or duplicate any legacy websites;
contains a search function,
is provided through an industry standard secure connection,
is designed around user needs,
provides users with the option for a more customized digital experience that allows users to complete digital transactions in an efficient and accurate manner, and
is fully functional and usable on common mobile devices.
Each agency that maintains a public website or digital service shall report: (1) to Congress on those websites and services, including the cost of modernization, and (2) annually to the Office of Management and Budget (OMB) on the agency's progress in implementing the requirements.

Agencies must ensure that Intranets established after enactment of this bill conform to the requirements for public websites.

Any website of an agency that is made available to the public after enactment shall be in compliance with the website standards of the Technology Transformation Services of the General Services Administration (GSA).

(Sec. 4) The OMB shall issue guidance to each agency to: (1) identify public nondigital, paper-based, or in person government services; and (2) include in the agency's budget request a list of nondigital services with the greatest impact that could be made available to the public through an online, mobile-friendly, digital service option in a manner that decreases cost, increases digital conversion rates, and improves customer experience, and an estimation of the cost and schedule associated with carrying out such modernization.

Agencies must make forms used by the public available digitally and report on forms, services, and processes that cannot be digitized. Each agency shall maintain an accessible method of completing digital services through in-person, paper-based, or other means, such that individuals without the ability to use digital services are not deprived of, or impeded in, access to such services.

(Sec. 5) Each agency shall submit to the OMB and Congress a plan to accelerate the use of electronic signatures.

(Sec. 6) Each agency's Chief Information Officer shall:

coordinate and ensure alignment of the internal and external customer experience programs and strategy of the agency,
coordinate with the management leaders of the agency to ensure proper funding to support this bill's implementation,
continually examine the agency's public digital service delivery strategy and submit recommendations providing guidance and best practices,
identify areas of concern that need improvement using data relating to customer experience and satisfaction, and
coordinate and ensure compliance with requirements for federal websites to be mobile friendly.
(Sec. 7) Each agency shall: (1) seek to maintain as much standardization and commonality with other agencies as practicable in implementing this bill's requirements to best enable future transitions to centralized shared services; and (2) coordinate the implementation of such requirements, including the development of standards and commonalities.

The GSA must make available under a Federal Supply Schedule the systems and services necessary to fulfill this bill's requirements. Such schedule shall ensure interoperability between agencies, compliance with industry standards, and adherence to best practices for design, accessibility, and information security.",21st Century Integrated Digital Experience Act,,https://www.usda.gov/sites/default/files/documents/DR3130-010_USDA Enterprise Information Technology Governance (EITG)_FINAL.pdf,https://uscode.house.gov/table3/115_336.htm,,,,,USDA,,,,,
USDA IT Directives,DR3130-012 Information Technology Cost Estimating (03/04/16),"OMB A-11, Preparation, Submission and Execution of the Budget",21st Century Integrated Digital Experience Act,"This bill requires an executive agency that creates a public website or digital service, or that redesigns an existing public legacy website or digital service, to ensure that the website or service:

is accessible to individuals with disabilities,
has a consistent appearance,
does not overlap with or duplicate any legacy websites;
contains a search function,
is provided through an industry standard secure connection,
is designed around user needs,
provides users with the option for a more customized digital experience that allows users to complete digital transactions in an efficient and accurate manner, and
is fully functional and usable on common mobile devices.
Each agency that maintains a public website or digital service shall report: (1) to Congress on those websites and services, including the cost of modernization, and (2) annually to the Office of Management and Budget (OMB) on the agency's progress in implementing the requirements.

Agencies must ensure that Intranets established after enactment of this bill conform to the requirements for public websites.

Any website of an agency that is made available to the public after enactment shall be in compliance with the website standards of the Technology Transformation Services of the General Services Administration (GSA).

(Sec. 4) The OMB shall issue guidance to each agency to: (1) identify public nondigital, paper-based, or in person government services; and (2) include in the agency's budget request a list of nondigital services with the greatest impact that could be made available to the public through an online, mobile-friendly, digital service option in a manner that decreases cost, increases digital conversion rates, and improves customer experience, and an estimation of the cost and schedule associated with carrying out such modernization.

Agencies must make forms used by the public available digitally and report on forms, services, and processes that cannot be digitized. Each agency shall maintain an accessible method of completing digital services through in-person, paper-based, or other means, such that individuals without the ability to use digital services are not deprived of, or impeded in, access to such services.

(Sec. 5) Each agency shall submit to the OMB and Congress a plan to accelerate the use of electronic signatures.

(Sec. 6) Each agency's Chief Information Officer shall:

coordinate and ensure alignment of the internal and external customer experience programs and strategy of the agency,
coordinate with the management leaders of the agency to ensure proper funding to support this bill's implementation,
continually examine the agency's public digital service delivery strategy and submit recommendations providing guidance and best practices,
identify areas of concern that need improvement using data relating to customer experience and satisfaction, and
coordinate and ensure compliance with requirements for federal websites to be mobile friendly.
(Sec. 7) Each agency shall: (1) seek to maintain as much standardization and commonality with other agencies as practicable in implementing this bill's requirements to best enable future transitions to centralized shared services; and (2) coordinate the implementation of such requirements, including the development of standards and commonalities.

The GSA must make available under a Federal Supply Schedule the systems and services necessary to fulfill this bill's requirements. Such schedule shall ensure interoperability between agencies, compliance with industry standards, and adherence to best practices for design, accessibility, and information security.",21st Century Integrated Digital Experience Act,,https://www.usda.gov/sites/default/files/documents/IT Cost Estimating.pdf,https://uscode.house.gov/table3/115_336.htm,,,,,USDA,,,,,
USDA IT Directives,DR3130-013 Information Technology Capital Planning and Investment Control (05/24/21),"OMB A-11, Preparation, Submission and Execution of the Budget",21st Century Integrated Digital Experience Act,"This bill requires an executive agency that creates a public website or digital service, or that redesigns an existing public legacy website or digital service, to ensure that the website or service:

is accessible to individuals with disabilities,
has a consistent appearance,
does not overlap with or duplicate any legacy websites;
contains a search function,
is provided through an industry standard secure connection,
is designed around user needs,
provides users with the option for a more customized digital experience that allows users to complete digital transactions in an efficient and accurate manner, and
is fully functional and usable on common mobile devices.
Each agency that maintains a public website or digital service shall report: (1) to Congress on those websites and services, including the cost of modernization, and (2) annually to the Office of Management and Budget (OMB) on the agency's progress in implementing the requirements.

Agencies must ensure that Intranets established after enactment of this bill conform to the requirements for public websites.

Any website of an agency that is made available to the public after enactment shall be in compliance with the website standards of the Technology Transformation Services of the General Services Administration (GSA).

(Sec. 4) The OMB shall issue guidance to each agency to: (1) identify public nondigital, paper-based, or in person government services; and (2) include in the agency's budget request a list of nondigital services with the greatest impact that could be made available to the public through an online, mobile-friendly, digital service option in a manner that decreases cost, increases digital conversion rates, and improves customer experience, and an estimation of the cost and schedule associated with carrying out such modernization.

Agencies must make forms used by the public available digitally and report on forms, services, and processes that cannot be digitized. Each agency shall maintain an accessible method of completing digital services through in-person, paper-based, or other means, such that individuals without the ability to use digital services are not deprived of, or impeded in, access to such services.

(Sec. 5) Each agency shall submit to the OMB and Congress a plan to accelerate the use of electronic signatures.

(Sec. 6) Each agency's Chief Information Officer shall:

coordinate and ensure alignment of the internal and external customer experience programs and strategy of the agency,
coordinate with the management leaders of the agency to ensure proper funding to support this bill's implementation,
continually examine the agency's public digital service delivery strategy and submit recommendations providing guidance and best practices,
identify areas of concern that need improvement using data relating to customer experience and satisfaction, and
coordinate and ensure compliance with requirements for federal websites to be mobile friendly.
(Sec. 7) Each agency shall: (1) seek to maintain as much standardization and commonality with other agencies as practicable in implementing this bill's requirements to best enable future transitions to centralized shared services; and (2) coordinate the implementation of such requirements, including the development of standards and commonalities.

The GSA must make available under a Federal Supply Schedule the systems and services necessary to fulfill this bill's requirements. Such schedule shall ensure interoperability between agencies, compliance with industry standards, and adherence to best practices for design, accessibility, and information security.",21st Century Integrated Digital Experience Act,,https://www.usda.gov/sites/default/files/documents/DR3130-013_IT Capital Planning and Investment Control_FINAL.pdf,https://uscode.house.gov/table3/115_336.htm,,,,,USDA,,,,,
USDA IT Directives,DR3170-001 End User Workstation Configurations (10/13/22),"OMB A-11, Preparation, Submission and Execution of the Budget",21st Century Integrated Digital Experience Act,"This bill requires an executive agency that creates a public website or digital service, or that redesigns an existing public legacy website or digital service, to ensure that the website or service:

is accessible to individuals with disabilities,
has a consistent appearance,
does not overlap with or duplicate any legacy websites;
contains a search function,
is provided through an industry standard secure connection,
is designed around user needs,
provides users with the option for a more customized digital experience that allows users to complete digital transactions in an efficient and accurate manner, and
is fully functional and usable on common mobile devices.
Each agency that maintains a public website or digital service shall report: (1) to Congress on those websites and services, including the cost of modernization, and (2) annually to the Office of Management and Budget (OMB) on the agency's progress in implementing the requirements.

Agencies must ensure that Intranets established after enactment of this bill conform to the requirements for public websites.

Any website of an agency that is made available to the public after enactment shall be in compliance with the website standards of the Technology Transformation Services of the General Services Administration (GSA).

(Sec. 4) The OMB shall issue guidance to each agency to: (1) identify public nondigital, paper-based, or in person government services; and (2) include in the agency's budget request a list of nondigital services with the greatest impact that could be made available to the public through an online, mobile-friendly, digital service option in a manner that decreases cost, increases digital conversion rates, and improves customer experience, and an estimation of the cost and schedule associated with carrying out such modernization.

Agencies must make forms used by the public available digitally and report on forms, services, and processes that cannot be digitized. Each agency shall maintain an accessible method of completing digital services through in-person, paper-based, or other means, such that individuals without the ability to use digital services are not deprived of, or impeded in, access to such services.

(Sec. 5) Each agency shall submit to the OMB and Congress a plan to accelerate the use of electronic signatures.

(Sec. 6) Each agency's Chief Information Officer shall:

coordinate and ensure alignment of the internal and external customer experience programs and strategy of the agency,
coordinate with the management leaders of the agency to ensure proper funding to support this bill's implementation,
continually examine the agency's public digital service delivery strategy and submit recommendations providing guidance and best practices,
identify areas of concern that need improvement using data relating to customer experience and satisfaction, and
coordinate and ensure compliance with requirements for federal websites to be mobile friendly.
(Sec. 7) Each agency shall: (1) seek to maintain as much standardization and commonality with other agencies as practicable in implementing this bill's requirements to best enable future transitions to centralized shared services; and (2) coordinate the implementation of such requirements, including the development of standards and commonalities.

The GSA must make available under a Federal Supply Schedule the systems and services necessary to fulfill this bill's requirements. Such schedule shall ensure interoperability between agencies, compliance with industry standards, and adherence to best practices for design, accessibility, and information security.",21st Century Integrated Digital Experience Act,,https://www.usda.gov/sites/default/files/documents/dr-3170-001-end-user-workstation-configurations.pdf,https://uscode.house.gov/table3/115_336.htm,,,,,USDA,,,,,
USDA IT Directives,DR3180-001 Information Technology Standards (01/05/2021),"OMB A-11, Preparation, Submission and Execution of the Budget",21st Century Integrated Digital Experience Act,"This bill requires an executive agency that creates a public website or digital service, or that redesigns an existing public legacy website or digital service, to ensure that the website or service:

is accessible to individuals with disabilities,
has a consistent appearance,
does not overlap with or duplicate any legacy websites;
contains a search function,
is provided through an industry standard secure connection,
is designed around user needs,
provides users with the option for a more customized digital experience that allows users to complete digital transactions in an efficient and accurate manner, and
is fully functional and usable on common mobile devices.
Each agency that maintains a public website or digital service shall report: (1) to Congress on those websites and services, including the cost of modernization, and (2) annually to the Office of Management and Budget (OMB) on the agency's progress in implementing the requirements.

Agencies must ensure that Intranets established after enactment of this bill conform to the requirements for public websites.

Any website of an agency that is made available to the public after enactment shall be in compliance with the website standards of the Technology Transformation Services of the General Services Administration (GSA).

(Sec. 4) The OMB shall issue guidance to each agency to: (1) identify public nondigital, paper-based, or in person government services; and (2) include in the agency's budget request a list of nondigital services with the greatest impact that could be made available to the public through an online, mobile-friendly, digital service option in a manner that decreases cost, increases digital conversion rates, and improves customer experience, and an estimation of the cost and schedule associated with carrying out such modernization.

Agencies must make forms used by the public available digitally and report on forms, services, and processes that cannot be digitized. Each agency shall maintain an accessible method of completing digital services through in-person, paper-based, or other means, such that individuals without the ability to use digital services are not deprived of, or impeded in, access to such services.

(Sec. 5) Each agency shall submit to the OMB and Congress a plan to accelerate the use of electronic signatures.

(Sec. 6) Each agency's Chief Information Officer shall:

coordinate and ensure alignment of the internal and external customer experience programs and strategy of the agency,
coordinate with the management leaders of the agency to ensure proper funding to support this bill's implementation,
continually examine the agency's public digital service delivery strategy and submit recommendations providing guidance and best practices,
identify areas of concern that need improvement using data relating to customer experience and satisfaction, and
coordinate and ensure compliance with requirements for federal websites to be mobile friendly.
(Sec. 7) Each agency shall: (1) seek to maintain as much standardization and commonality with other agencies as practicable in implementing this bill's requirements to best enable future transitions to centralized shared services; and (2) coordinate the implementation of such requirements, including the development of standards and commonalities.

The GSA must make available under a Federal Supply Schedule the systems and services necessary to fulfill this bill's requirements. Such schedule shall ensure interoperability between agencies, compliance with industry standards, and adherence to best practices for design, accessibility, and information security.",21st Century Integrated Digital Experience Act,,https://www.usda.gov/sites/default/files/documents/DR3180-001_Information Technology Standards_FINAL_20210105v2.pdf,https://uscode.house.gov/table3/115_336.htm,,,,,USDA,,,,,
USDA IT Directives,DR3300-001-C Radio Frequency Management (09/27/19),"OMB A-11, Preparation, Submission and Execution of the Budget",21st Century Integrated Digital Experience Act,"This bill requires an executive agency that creates a public website or digital service, or that redesigns an existing public legacy website or digital service, to ensure that the website or service:

is accessible to individuals with disabilities,
has a consistent appearance,
does not overlap with or duplicate any legacy websites;
contains a search function,
is provided through an industry standard secure connection,
is designed around user needs,
provides users with the option for a more customized digital experience that allows users to complete digital transactions in an efficient and accurate manner, and
is fully functional and usable on common mobile devices.
Each agency that maintains a public website or digital service shall report: (1) to Congress on those websites and services, including the cost of modernization, and (2) annually to the Office of Management and Budget (OMB) on the agency's progress in implementing the requirements.

Agencies must ensure that Intranets established after enactment of this bill conform to the requirements for public websites.

Any website of an agency that is made available to the public after enactment shall be in compliance with the website standards of the Technology Transformation Services of the General Services Administration (GSA).

(Sec. 4) The OMB shall issue guidance to each agency to: (1) identify public nondigital, paper-based, or in person government services; and (2) include in the agency's budget request a list of nondigital services with the greatest impact that could be made available to the public through an online, mobile-friendly, digital service option in a manner that decreases cost, increases digital conversion rates, and improves customer experience, and an estimation of the cost and schedule associated with carrying out such modernization.

Agencies must make forms used by the public available digitally and report on forms, services, and processes that cannot be digitized. Each agency shall maintain an accessible method of completing digital services through in-person, paper-based, or other means, such that individuals without the ability to use digital services are not deprived of, or impeded in, access to such services.

(Sec. 5) Each agency shall submit to the OMB and Congress a plan to accelerate the use of electronic signatures.

(Sec. 6) Each agency's Chief Information Officer shall:

coordinate and ensure alignment of the internal and external customer experience programs and strategy of the agency,
coordinate with the management leaders of the agency to ensure proper funding to support this bill's implementation,
continually examine the agency's public digital service delivery strategy and submit recommendations providing guidance and best practices,
identify areas of concern that need improvement using data relating to customer experience and satisfaction, and
coordinate and ensure compliance with requirements for federal websites to be mobile friendly.
(Sec. 7) Each agency shall: (1) seek to maintain as much standardization and commonality with other agencies as practicable in implementing this bill's requirements to best enable future transitions to centralized shared services; and (2) coordinate the implementation of such requirements, including the development of standards and commonalities.

The GSA must make available under a Federal Supply Schedule the systems and services necessary to fulfill this bill's requirements. Such schedule shall ensure interoperability between agencies, compliance with industry standards, and adherence to best practices for design, accessibility, and information security.",21st Century Integrated Digital Experience Act,,https://www.usda.gov/sites/default/files/documents/20190927_DR3300-001-C_Radio Frequency Management_final.pdf,https://uscode.house.gov/table3/115_336.htm,,,,,USDA,,,,,
